epoch,train_loss,train_acc,test_loss,test_acc
0,1.767730012779236,31.208,1.5391375535964966,40.37
1,1.3858386906051636,49.458,1.3289188873291016,51.1
2,1.239032576789856,56.548,1.1244513667106628,60.47
3,1.1484941095733643,60.286,1.7045810543060302,45.73
4,1.0824237268066406,62.694,1.0809721147537232,62.32
5,1.0334725092315673,64.794,1.2336719295501708,57.31
6,0.9956543854904175,66.232,1.3582008718490601,54.37
7,0.9573444793510437,67.724,0.9938347974777222,65.46
8,0.9287219723892212,68.8,1.0203401887893677,64.62
9,0.8924843133926391,69.934,1.0992183061599732,63.85
10,0.8668551211547851,70.984,1.2180665357589722,61.17
11,0.8426917895698547,71.768,0.9481918488502502,67.88
12,0.8284402403450012,72.318,1.085674847984314,63.99
13,0.8053181693649292,73.126,0.9367998039245605,68.52
14,0.7836706242370606,73.89,1.0696092929840089,66.0
15,0.7664364899063111,74.288,0.9833594472885132,68.48
16,0.751800472946167,74.892,0.9301309952735901,69.27
17,0.7328953420066834,75.712,0.9695468366622925,69.71
18,0.7238304114151001,75.908,1.1753969135284423,63.42
19,0.7070838380241394,76.436,0.9769458003044128,68.64
