epoch,train_loss,train_acc,test_loss,test_acc
0,1.8802657138061523,25.132,1.6351754722595215,33.58
1,1.628513418006897,35.206,1.4470424243927003,41.35
2,1.5162125805664062,39.916,1.2981154922485352,49.67
3,1.4360453425216675,44.586,1.2694308784484862,52.1
4,1.382676898765564,47.198,1.1616288783073425,56.4
5,1.2990567365264893,50.68,1.1141106721878051,57.63
6,1.2409598043441772,53.514,1.1742713249206542,55.35
7,1.1938226276397705,55.45,1.0547347689628601,61.6
8,1.1444194428634644,58.178,0.9735555171012878,65.61
9,1.0954531064605713,60.424,0.9483645273208618,67.09
10,1.0343140553283692,63.462,0.9245451374053955,67.98
11,0.9845834888839722,66.002,0.8406699632644653,73.86
12,0.9286046886444091,68.804,0.8471785501480102,71.56
13,0.8850184739494323,71.044,0.8332969289779663,73.31
14,0.8440413803100586,72.828,0.7778171973228455,74.64
15,0.8182324973869324,73.866,0.7408228155136108,76.01
16,0.7879581309890747,75.026,0.7702730700492859,75.02
17,0.7522058722877503,76.202,0.7402066512107849,77.3
18,0.7464512527561188,76.546,0.7199634165287018,77.3
19,0.7124556499958038,77.862,0.7910756485462189,75.99
