epoch,train_loss,train_acc,test_loss,test_acc
0,1.3683204483795166,50.44,1.3325646423339843,53.36
1,1.032857583694458,63.196,1.2248752052307128,57.44
2,0.9139386728286744,67.766,1.2796021236419677,57.39
3,0.8389391114425659,70.522,0.8618818549633026,69.69
4,0.7793906373214722,72.592,0.8157108298301696,71.44
5,0.7310442995834351,74.154,0.9009691069602966,68.77
6,0.6847353553676605,75.746,0.9041645073890686,69.27
7,0.6586751258850098,76.868,0.7500386678695679,74.41
8,0.623300482826233,77.832,0.8866713600158691,69.55
9,0.595111545495987,79.066,0.7967602554321289,72.67
10,0.5671660389900207,79.694,0.7442194631576539,74.31
11,0.541446714630127,80.708,0.7737648324012756,74.69
12,0.5226969355869293,81.384,1.098737607383728,67.09
13,0.4980326460647583,82.134,0.778209110069275,75.06
14,0.4795007900428772,82.782,0.8162985966682434,73.71
15,0.46192220165252684,83.488,0.8959220834732056,71.86
16,0.448844571313858,83.86,0.7955262659072876,75.58
17,0.43606083132743834,84.128,0.7880126932144165,75.35
18,0.4162374958229065,85.136,0.986519807624817,71.44
19,0.40347793327331544,85.534,0.8810246006011963,74.49
